L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
40.2195,32.4693,96.0082,0.0281472,0.654575,0.620372,88.492,0.000329712,10.6073,9.95872,80.868,0.000133167,0.335527,0.329948,12.5177,1.17174e-06,2.05408,1.09303,13.9892,1.81814
40.2195,32.4693,96.0078,0.0281472,0.656327,0.622219,88.4603,0.000329712,10.6073,9.95872,80.8676,0.000133167,0.33728,0.331795,12.486,1.17174e-06,2.05472,1.09303,14.019,1.81815
40.2195,32.4693,96.0084,0.0281472,0.659711,0.625312,88.9004,0.000329712,10.6073,9.95872,80.8681,0.000133167,0.340664,0.334888,12.9261,1.17174e-06,2.04455,1.09303,13.5588,1.81814
40.2195,32.4693,96.0085,0.0281472,0.659891,0.625457,88.7587,0.000329712,10.6073,9.95872,80.8683,0.000133167,0.340844,0.335032,12.7844,1.17174e-06,2.04776,1.09303,13.7012,1.81813
40.2195,32.4693,96.0075,0.0281472,0.658589,0.624701,88.3564,0.000329712,10.6073,9.95872,80.8672,0.000133167,0.339541,0.334276,12.3821,1.17174e-06,2.05699,1.09303,14.1255,1.81815
40.2195,32.4693,96.0073,0.0281472,0.658667,0.62494,88.2839,0.000329712,10.6073,9.95872,80.8671,0.000133167,0.339619,0.334516,12.3096,1.17174e-06,2.05865,1.09303,14.2041,1.81815
40.2195,32.4693,96.0072,0.0281472,0.658576,0.624935,88.2076,0.000329712,10.6073,9.95872,80.8669,0.000133167,0.339529,0.334511,12.2333,1.17174e-06,2.06041,1.09304,14.2881,1.81816
40.2195,32.4693,96.0073,0.0281472,0.659116,0.625346,88.3549,0.000329712,10.6073,9.95872,80.867,0.000133167,0.340069,0.334922,12.3805,1.17174e-06,2.057,1.09303,14.1259,1.81816
40.2195,32.4693,96.0077,0.0281472,0.659775,0.625883,88.3977,0.000329712,10.6073,9.95872,80.8675,0.000133167,0.340727,0.335458,12.4234,1.17174e-06,2.05599,1.09303,14.0784,1.81815
40.2195,32.4693,96.0065,0.0281472,0.658784,0.625422,88.0776,0.000329712,10.6073,9.95872,80.8663,0.000133167,0.339736,0.334997,12.1032,1.17174e-06,2.06339,1.09304,14.4328,1.81817
