1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.002931,0.001914,0.008357,0.001991,0.000793,-0.010321,-0.029485,-0.014688,0.493717,0.629205,0.643909,0.650933,0.652793,0.662259,0.699260,0.650122
-0.013428,-0.012395,0.008923,-0.008310,-0.000268,-0.020319,-0.033395,-0.013101,0.443647,0.580280,0.587332,0.605993,0.615580,0.630929,0.691611,0.646626
-0.023132,-0.014806,0.005046,-0.020164,-0.003221,-0.026047,-0.036102,-0.012413,0.435748,0.551053,0.558155,0.582957,0.586275,0.607980,0.685785,0.643969
-0.014008,-0.020415,-0.001884,-0.029976,-0.003225,-0.030215,-0.039918,-0.011567,0.443206,0.539212,0.543060,0.576140,0.567651,0.591300,0.682595,0.640790
-0.013463,-0.028723,-0.006117,-0.035676,-0.005872,-0.034438,-0.043376,-0.009548,0.457293,0.532224,0.533770,0.578189,0.554806,0.578105,0.680730,0.637449
-0.013159,-0.028599,-0.006268,-0.045431,-0.008874,-0.038469,-0.047243,-0.009297,0.468610,0.528468,0.527982,0.580446,0.545400,0.567986,0.680276,0.633290
-0.014951,-0.029903,-0.009177,-0.053091,-0.010436,-0.041274,-0.051472,-0.009138,0.464837,0.526409,0.526547,0.578611,0.539079,0.560638,0.681260,0.630775
-0.016537,-0.034045,-0.009188,-0.055631,-0.012295,-0.045238,-0.054067,-0.006524,0.469583,0.525481,0.524512,0.575079,0.535009,0.554596,0.681206,0.626196
-0.014578,-0.028658,-0.011426,-0.060039,-0.014033,-0.048951,-0.056734,-0.006920,0.475038,0.524686,0.523632,0.572998,0.533648,0.551235,0.680092,0.624900
-0.017158,-0.039046,-0.014539,-0.062847,-0.017540,-0.052494,-0.059721,-0.004286,0.473919,0.527463,0.523418,0.572394,0.532863,0.548412,0.681112,0.621464
-0.011033,-0.035251,-0.016972,-0.064873,-0.020961,-0.054129,-0.062161,-0.002676,0.478618,0.526038,0.523271,0.568492,0.532575,0.547400,0.682123,0.618399
-0.018579,-0.035120,-0.017972,-0.066726,-0.021592,-0.056190,-0.064740,-0.002101,0.478463,0.528765,0.523421,0.573197,0.533833,0.545097,0.683412,0.614040
-0.010952,-0.040913,-0.018088,-0.072031,-0.023399,-0.057982,-0.065696,-0.002169,0.476402,0.531774,0.523383,0.577557,0.535569,0.544604,0.683218,0.613593
-0.009770,-0.039996,-0.018692,-0.073730,-0.022759,-0.060186,-0.068134,-0.001810,0.484374,0.536162,0.522272,0.579525,0.535763,0.544147,0.684701,0.610113
-0.012900,-0.039709,-0.016922,-0.072238,-0.024224,-0.061779,-0.069016,-0.001495,0.485110,0.534686,0.523139,0.579986,0.538623,0.543916,0.683657,0.609158
-0.012685,-0.040967,-0.021412,-0.078513,-0.028106,-0.062917,-0.070478,0.000476,0.489219,0.535157,0.522248,0.586769,0.540586,0.544389,0.684844,0.607382
-0.012856,-0.039688,-0.021275,-0.083509,-0.027328,-0.065390,-0.073111,0.000566,0.493870,0.535431,0.521257,0.594454,0.543507,0.545528,0.683486,0.605939
-0.023176,-0.040266,-0.021942,-0.083613,-0.027814,-0.065716,-0.075648,0.000285,0.488569,0.539594,0.521230,0.595932,0.543515,0.545546,0.685849,0.603321
-0.018549,-0.042614,-0.023771,-0.084258,-0.031227,-0.067635,-0.075716,0.001623,0.488028,0.539213,0.521755,0.597277,0.543561,0.547585,0.684912,0.603220
-0.015496,-0.040900,-0.021373,-0.085099,-0.030906,-0.066318,-0.076903,0.000983,0.485689,0.540018,0.520160,0.592781,0.543361,0.547843,0.683887,0.602100
-0.018568,-0.042140,-0.022522,-0.088521,-0.032611,-0.069998,-0.077940,0.001261,0.495076,0.543575,0.520293,0.593776,0.543431,0.548410,0.685511,0.600565
-0.019489,-0.042894,-0.025831,-0.088945,-0.029616,-0.069642,-0.077563,0.001696,0.487008,0.546648,0.520542,0.593976,0.542850,0.551001,0.685516,0.599655
