1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001374,-0.000818,-0.000184,-0.000904,-0.000586,-0.000378,-0.000012,-0.000049,0.028058,0.015285,0.015143,0.015192,0.013773,0.010515,0.004145,0.010036
-0.002116,0.001918,0.001291,0.000605,0.000165,0.000105,0.000011,-0.000110,0.032894,0.022592,0.021734,0.015929,0.011898,0.014099,0.006383,0.007462
-0.000723,0.001425,0.000915,0.001266,0.000382,0.000673,0.000018,-0.000171,0.032173,0.016943,0.017853,0.018062,0.018656,0.015316,0.006641,0.008099
0.003581,-0.001371,-0.000372,-0.000308,-0.000037,0.000282,0.000009,0.000092,0.033837,0.020737,0.020042,0.014399,0.013089,0.015795,0.006427,0.007176
-0.000796,-0.000289,-0.000910,-0.001581,-0.000347,-0.000609,-0.000037,0.000171,0.029609,0.017680,0.019776,0.018661,0.013012,0.015963,0.007844,0.011287
-0.001718,0.000451,0.000014,0.000405,-0.000328,0.000058,-0.000018,0.000055,0.030971,0.014128,0.020995,0.014646,0.014748,0.012349,0.007724,0.006905
-0.004069,-0.000737,-0.000110,-0.000145,-0.000042,0.000276,0.000015,0.000159,0.026269,0.017340,0.012173,0.016682,0.015617,0.012495,0.008623,0.011388
-0.001736,0.000136,0.000019,0.000038,0.000271,0.000632,0.000100,0.000140,0.028399,0.022975,0.017735,0.019436,0.020601,0.016734,0.009741,0.011304
-0.005570,-0.001518,0.000037,-0.000274,0.000062,0.000345,-0.000008,0.000165,0.032121,0.019064,0.014381,0.016754,0.014022,0.013525,0.009391,0.011896
0.002966,0.001434,-0.000184,0.000851,0.000084,0.000052,-0.000002,-0.000464,0.031725,0.019733,0.020983,0.016283,0.015059,0.012735,0.009191,0.011904
-0.005932,-0.002096,-0.000828,-0.000500,-0.000042,-0.000337,-0.000031,-0.000159,0.027704,0.024390,0.019779,0.015695,0.018683,0.015454,0.007987,0.009804
0.001085,0.000898,-0.000378,0.000058,-0.000017,0.000067,0.000013,-0.000098,0.030205,0.019281,0.021979,0.015650,0.015628,0.011841,0.010244,0.012414
-0.005498,0.000584,0.000279,0.000652,0.000237,0.000033,-0.000016,0.000562,0.034013,0.016869,0.017982,0.019043,0.016673,0.013634,0.007949,0.011342
-0.001266,0.000605,0.000210,-0.000010,0.000204,-0.000161,-0.000005,0.000543,0.029707,0.017857,0.022167,0.016623,0.020452,0.016805,0.008130,0.012326
0.000235,-0.001579,0.000148,-0.000304,0.000082,0.000181,-0.000010,-0.000140,0.030242,0.018973,0.021044,0.016340,0.019353,0.013888,0.008238,0.010892
-0.001374,0.001344,0.000252,-0.000468,-0.000229,0.000036,0.000045,-0.000049,0.028814,0.021937,0.018608,0.019566,0.016063,0.012678,0.007566,0.007615
-0.004250,-0.000187,0.000350,-0.000242,0.000124,0.000210,-0.000024,-0.000110,0.030019,0.019519,0.016610,0.020469,0.014367,0.017160,0.008876,0.007614
-0.000109,0.001139,0.000029,0.000109,-0.000188,-0.000148,0.000044,0.000366,0.030448,0.020800,0.016938,0.019700,0.015217,0.013511,0.007833,0.010728
0.002242,0.001790,0.000165,-0.000235,-0.000068,-0.000049,-0.000010,0.000061,0.023382,0.022618,0.018036,0.012355,0.014042,0.016764,0.007893,0.007150
-0.001356,0.000632,0.000037,0.000629,-0.000063,-0.000085,0.000005,-0.000159,0.032346,0.021291,0.017772,0.019800,0.015760,0.012322,0.007113,0.006764
-0.000054,0.001052,-0.000524,0.000733,0.000285,0.000277,-0.000001,0.000140,0.025541,0.019505,0.022238,0.020758,0.021072,0.017020,0.008446,0.011134
0.000434,0.001116,-0.000653,0.000746,0.000074,0.000157,-0.000019,0.000409,0.032354,0.017986,0.022548,0.017820,0.016158,0.011458,0.007965,0.012049
-0.007252,-0.001292,0.000626,0.000222,-0.000161,0.000053,-0.000051,-0.000153,0.029322,0.026655,0.022740,0.019604,0.014715,0.011286,0.008229,0.007436
-0.001374,-0.000523,-0.000254,-0.000085,-0.000452,-0.000263,0.000028,-0.000110,0.032536,0.015512,0.021748,0.018365,0.019835,0.015383,0.008968,0.011654
-0.000344,-0.002365,0.000037,-0.000090,-0.000114,-0.000038,0.000028,-0.000519,0.028628,0.023937,0.021066,0.017555,0.019301,0.015789,0.007312,0.011020
0.005769,-0.001796,0.000588,0.000116,0.000340,0.000177,0.000035,-0.000238,0.030254,0.024961,0.022765,0.020328,0.017428,0.013555,0.007970,0.012397
-0.003382,-0.001275,0.000626,-0.000401,-0.000310,-0.000044,-0.000019,0.000458,0.029137,0.019240,0.023239,0.021539,0.016376,0.020188,0.008464,0.011661
0.002333,-0.000235,0.000288,0.000303,0.000052,0.000108,0.000015,-0.000073,0.035460,0.021195,0.018666,0.018411,0.015861,0.013840,0.007857,0.011977
0.000036,0.000604,0.000031,-0.000164,0.000145,-0.000196,0.000024,-0.000189,0.032287,0.023786,0.022767,0.020198,0.015536,0.017578,0.006536,0.010714
-0.001628,0.000488,-0.000504,-0.000345,-0.000101,-0.000344,0.000004,-0.000006,0.031536,0.021632,0.020994,0.019219,0.016910,0.018255,0.006762,0.007123
0.002966,-0.000954,0.000275,-0.000074,-0.000076,-0.000212,0.000009,-0.000092,0.028496,0.018991,0.016753,0.020129,0.017440,0.017919,0.007943,0.007885
-0.000362,0.000561,0.000285,0.000207,-0.000159,0.000279,0.000036,0.000037,0.027273,0.025307,0.016820,0.012849,0.015960,0.016338,0.005998,0.010482
